JUDUL,KATEGORI,tokens,stemmed
hotman paris siap buatkan perjanjian pranikah alshad dan tiara,Selebritas,"['hotman', 'paris', 'buatkan', 'perjanjian', 'pranikah', 'alshad', 'tiara']",hotman paris buat janji pranikah alshad tiara
alshad ahmad hamili nissa asyifa lalu menikah dan bercerai,Selebritas,"['alshad', 'ahmad', 'hamili', 'nissa', 'asyifa', 'menikah', 'bercerai']",alshad ahmad hamil nissa asyifa meni cerai
ternyata alshad ahmad terpaksa menikahi nissa asyifa,Selebritas,"['alshad', 'ahmad', 'terpaksa', 'menikahi', 'nissa', 'asyifa']",alshad ahmad paksa nikah nissa asyifa
komentar raffi ahmad soal pernikahan dan perceraian diamdiam alshad,Selebritas,"['komentar', 'raffi', 'ahmad', 'pernikahan', 'perceraian', 'diamdiam', 'alshad']",komentar raffi ahmad nikah cerai diamdiam alshad
berkah ramadan maell lee bakal jadi ayah,Selebritas,"['berkah', 'ramadan', 'maell', 'lee', 'ayah']",berkah ramadan maell lee ayah
sedih artis cilik ini lumpuh usai diprank tarik kursi,Selebritas,"['sedih', 'artis', 'cilik', 'lumpuh', 'diprank', 'tarik', 'kursi']",sedih artis cilik lumpuh diprank tarik kursi
ortu ayu ting ting beri lampu hijau untuk boy william asalkan,Selebritas,"['ortu', 'ayu', 'ting', 'ting', 'lampu', 'hijau', 'boy', 'william']",ortu ayu ting ting lampu hijau boy william
jawaban raffi ahmad usai kepergok vc dengan mimi bayuh saat di jepang,Selebritas,"['raffi', 'ahmad', 'kepergok', 'vc', 'mimi', 'bayuh', 'jepang']",raffi ahmad pergok vc mimi bayuh jepang
jordi onsu ogah mikirin jodoh usai putus dari frislly,Selebritas,"['jordi', 'onsu', 'ogah', 'mikirin', 'jodoh', 'putus', 'frislly']",jordi onsu ogah mikirin jodoh putus frislly
kondisi mat solat bajaj bajuri usai  kali stroke,Selebritas,"['kondisi', 'mat', 'solat', 'bajaj', 'bajuri', 'kali', 'stroke']",kondisi mat solat bajaj bajuri kali stroke
marshanda pamit di instagram tahun ini chapter terakhirku,Selebritas,"['marshanda', 'pamit', 'instagram', 'chapter', 'terakhirku']",marshanda pamit instagram chapter akhir
selebgram di bengkulu ditangkap gegara live bugil di instagram,Selebritas,"['selebgram', 'bengkulu', 'ditangkap', 'gegara', 'live', 'bugil', 'instagram']",selebgram bengkulu tangkap gegara live bugil instagram
aming pakai pecibaju koko netizen doakan istikamah,Selebritas,"['aming', 'pakai', 'pecibaju', 'koko', 'netizen', 'doakan', 'istikamah']",aming pakai pecibaju koko netizen doa istikamah
 potret awet muda chuando tan di usia  tahun sugar daddy banget,Selebritas,"['potret', 'awet', 'muda', 'chuando', 'tan', 'usia', 'sugar', 'daddy', 'banget']",potret awet muda chuando tan usia sugar daddy banget
nikita mirzani temani pacar bulenya sunat,Selebritas,"['nikita', 'mirzani', 'temani', 'pacar', 'bulenya', 'sunat']",nikita mirzani teman pacar bule sunat
usai jumpa fans di medan bunda corla jadi pelayan mcd,Selebritas,"['jumpa', 'fans', 'medan', 'bunda', 'corla', 'pelayan', 'mcd']",jumpa fans medan bunda corla layan mcd
wow raline shah belajar terbangkan pesawat,Selebritas,"['wow', 'raline', 'shah', 'belajar', 'terbangkan', 'pesawat']",wow raline shah ajar terbang pesawat
usai keluar dari rs indra bekti lebih manja pada istri,Selebritas,"['rs', 'indra', 'bekti', 'manja', 'istri']",rs indra bekti manja istri
ferry irawan ancam buka rahasia venna melinda sindir kasus bogor,Selebritas,"['ferry', 'irawan', 'ancam', 'buka', 'rahasia', 'venna', 'melinda', 'sindir', 'bogor']",ferry irawan ancam buka rahasia venna melinda sindir bogor
rumah ashanty kemalingan ratusan juta raib,Selebritas,"['rumah', 'ashanty', 'kemalingan', 'ratusan', 'juta', 'raib']",rumah ashanty maling ratus juta raib
kabar baik indra bekti sudah pulang dari rumah sakit,Selebritas,"['kabar', 'indra', 'bekti', 'pulang', 'rumah', 'sakit']",kabar indra bekti pulang rumah sakit
keluarga ferry irawan berharap damai tapi ingin lihat bukti visum,Selebritas,"['keluarga', 'ferry', 'irawan', 'berharap', 'damai', 'lihat', 'bukti', 'visum']",keluarga ferry irawan harap damai lihat bukti visum
sempat kena mental keisya levronka kini lebih percaya diri,Selebritas,"['kena', 'mental', 'keisya', 'levronka', 'percaya']",kena mental isya levronka percaya
hotman sebut ferry tak nafkahi venna tapi doyan minta hubungan intim,Selebritas,"['hotman', 'ferry', 'nafkahi', 'venna', 'doyan', 'hubungan', 'intim']",hotman ferry nafkah venna doyan hubung intim
venna melinda siap akhiri pernikahan tak bahagia dan tertekan,Selebritas,"['venna', 'melinda', 'pernikahan', 'bahagia', 'tertekan']",venna melinda nikah bahagia tekan
luna maya bantah akan menikah dengan gading marten,Selebritas,"['luna', 'maya', 'bantah', 'menikah', 'gading', 'marten']",luna maya bantah meni gading marten
buka penggalangan dana istri indra bekti dikritik netizen,Selebritas,"['buka', 'penggalangan', 'dana', 'istri', 'indra', 'bekti', 'dikritik', 'netizen']",buka galang dana istri indra bekti kritik netizen
netizen puji habis rafatar kala main bareng penyandang disabilitas,Selebritas,"['netizen', 'puji', 'habis', 'rafatar', 'main', 'bareng', 'penyandang', 'disabilitas']",netizen puji habis rafatar main bareng sandang disabilitas
alami pengeroposan tulang nikita mirzani batal dijemput paksa jpu dari rs,Selebritas,"['alami', 'pengeroposan', 'tulang', 'nikita', 'mirzani', 'batal', 'dijemput', 'paksa', 'jpu', 'rs']",alami keropos tulang nikita mirzani batal jemput paksa jpu rs
dikabarkan putus dengan alshad ahmad begini reaksi tiara andini,Selebritas,"['dikabarkan', 'putus', 'alshad', 'ahmad', 'reaksi', 'tiara', 'andini']",kabar putus alshad ahmad reaksi tiara andini
wajah awet muda diana pungky jinny oh jinny di usia  tahun,Selebritas,"['wajah', 'awet', 'muda', 'diana', 'pungky', 'jinny', 'oh', 'jinny', 'usia']",wajah awet muda ana pungky jinny oh jinny usia
 tokoh dunia ini konsumsi minuman favorit tiap pagi,Selebritas,"['tokoh', 'dunia', 'konsumsi', 'minuman', 'favorit', 'pagi']",tokoh dunia konsumsi minum favorit pagi
kemesraan kiky saputri bareng pacar yang mirip prewedding,Selebritas,"['kemesraan', 'kiky', 'saputri', 'bareng', 'pacar', 'prewedding']",mesra kiky saputri bareng pacar prewedding
 aksi kocak tiru gaya seleb ala funny toheeb,Selebritas,"['aksi', 'kocak', 'tiru', 'gaya', 'seleb', 'ala', 'funny', 'toheeb']",aksi kocak tiru gaya seleb ala funny toheeb
kisah sekuriti sukses jadi selebriti bangun rumah cuma  bulan,Selebritas,"['kisah', 'sekuriti', 'sukses', 'selebriti', 'bangun', 'rumah']",kisah sekuriti sukses selebriti bangun rumah
ngemplang pajak influencer cantik china didenda rp  triliun,Selebritas,"['ngemplang', 'pajak', 'influencer', 'cantik', 'china', 'didenda', 'rp', 'triliun']",ngemplang pajak influencer cantik china denda rp triliun
 atlet bulutangkis dan artis korea ini girang banget saat dapat indomie,Selebritas,"['atlet', 'bulutangkis', 'artis', 'korea', 'girang', 'banget', 'indomie']",atlet bulutangkis artis korea girang banget indomie
 seleb muda paling tajir di dunia,Selebritas,"['seleb', 'muda', 'tajir', 'dunia']",seleb muda tajir dunia
demi tampil seksi aktris ini hampir mati,Selebritas,"['tampil', 'seksi', 'aktris', 'mati']",tampil seksi aktris mati
 restoran milik celebrity chef yang bangkrut apa sebabnya,Selebritas,"['restoran', 'milik', 'celebrity', 'chef', 'bangkrut']",restoran milik celebrity chef bangkrut
 pernikahan terhot ,Selebritas,"['pernikahan', 'terhot']",nikah hot
 peristiwa terhot ,Selebritas,"['peristiwa', 'terhot']",peristiwa hot
 pasangan terhot ,Selebritas,"['pasangan', 'terhot']",pasang hot
 seleb pria terhot ,Selebritas,"['seleb', 'pria', 'terhot']",seleb pria hot
 seleb wanita terhot ,Selebritas,"['seleb', 'wanita', 'terhot']",seleb wanita hot
ada yang jadi pejabat  artis ini pilih kerja pns ketimbang dunia hiburan,Selebritas,"['pejabat', 'artis', 'pilih', 'kerja', 'pns', 'ketimbang', 'dunia', 'hiburan']",jabat artis pilih kerja pns ketimbang dunia hibur
ambrol  kontestan miss thailand jatuh dari jembatan gantung,Selebritas,"['ambrol', 'kontestan', 'miss', 'thailand', 'jatuh', 'jembatan', 'gantung']",ambrol kontestan miss thailand jatuh jembatan gantung
 restoran milik artis ini bangkrut siapa saja pemiliknya,Selebritas,"['restoran', 'milik', 'artis', 'bangkrut', 'pemiliknya']",restoran milik artis bangkrut milik
siapsiap iphone  bakal meluncur di ri bulan ini,Teknologi,"['siapsiap', 'iphone', 'meluncur', 'ri']",siapsiap iphone luncur ri
ai bisa bikin umkm pariwisata naik kelas bagaimana caranya,Teknologi,"['ai', 'bikin', 'umkm', 'pariwisata', 'kelas']",ai bikin umkm pariwisata kelas
gokil elon musk jadi konglomerat pertama dengan kekayaan hingga rp  t,Teknologi,"['gokil', 'elon', 'musk', 'konglomerat', 'kekayaan', 'rp', 't']",gokil elon musk konglomerat kaya rp t
google pilih  google student ambassador  untuk bantu mahasiswa belajar ai,Teknologi,"['google', 'pilih', 'google', 'student', 'ambassador', 'bantu', 'mahasiswa', 'belajar', 'ai']",google pilih google student ambassador bantu mahasiswa ajar ai
 negara paling inovatif di asia indonesia kalah dari malaysia,Teknologi,"['negara', 'inovatif', 'asia', 'indonesia', 'kalah', 'malaysia']",negara inovatif asia indonesia kalah malaysia
petinggi starbucks mundur di tengah rencana tutup geraiphk massal,Teknologi,"['petinggi', 'starbucks', 'mundur', 'rencana', 'tutup', 'geraiphk', 'massal']",petinggi starbucks mundur rencana tutup geraiphk massal
canggih teknologi baru uea ubah kelembapan jadi air minum,Teknologi,"['canggih', 'teknologi', 'uea', 'ubah', 'kelembapan', 'air', 'minum']",canggih teknologi uea ubah lembap air minum
komik yang gambarkan bedanya kehidupan zaman dulu vs now karena teknologi,Teknologi,"['komik', 'gambarkan', 'bedanya', 'kehidupan', 'zaman', 'vs', 'now', 'teknologi']",komik gambar beda hidup zaman vs now teknologi
ketika teknologi bukannya canggih tapi malah ngawur,Teknologi,"['teknologi', 'canggih', 'ngawur']",teknologi canggih ngawur
wujud detektor raksasa china untuk cari partikel hantu,Teknologi,"['wujud', 'detektor', 'raksasa', 'china', 'cari', 'partikel', 'hantu']",wujud detektor raksasa china cari partikel hantu
kala ilmuwan coba bangkitkan vampir berusia  tahun dari kematian,Teknologi,"['ilmuwan', 'coba', 'bangkitkan', 'vampir', 'berusia', 'kematian']",ilmuwan coba bangkit vampir usia mati
syarat jadi penerus bill gates belajar coding dari usia  tahun,Teknologi,"['syarat', 'penerus', 'bill', 'gates', 'belajar', 'coding', 'usia']",syarat terus bill gates ajar coding usia
 negara dengan inovasi terbaik di dunia indonesia tak masuk  besar,Teknologi,"['negara', 'inovasi', 'terbaik', 'dunia', 'indonesia', 'masuk']",negara inovasi baik dunia indonesia masuk
mengintip majunya edukasi ai di india pelajarpekerja wajib pelajari,Teknologi,"['mengintip', 'majunya', 'edukasi', 'ai', 'india', 'pelajarpekerja', 'wajib', 'pelajari']",intip maju edukasi ai india pelajarpekerja wajib ajar
ri dan turki makin mesra geber kerja sama di sektor industri,Teknologi,"['ri', 'turki', 'mesra', 'geber', 'kerja', 'sektor', 'industri']",ri turki mesra geber kerja sektor industri
visa ditolak presiden palestina manfaatkan teknologi untuk pidato di pbb,Teknologi,"['visa', 'ditolak', 'presiden', 'palestina', 'manfaatkan', 'teknologi', 'pidato', 'pbb']",visa tolak presiden palestina manfaat teknologi pidato pbb
 kampus teknologi terbaik di asia empat dari india,Teknologi,"['kampus', 'teknologi', 'terbaik', 'asia', 'india']",kampus teknologi baik asia india
bot ai pidato usai diangkat jadi menteri albania bilang mesin bukan ancaman,Teknologi,"['bot', 'ai', 'pidato', 'diangkat', 'menteri', 'albania', 'bilang', 'mesin', 'ancaman']",bot ai pidato angkat menteri albania bilang mesin ancam
albania luncurkan menteri ai pertama di dunia tugasnya berantas korupsi,Teknologi,"['albania', 'luncurkan', 'menteri', 'ai', 'dunia', 'tugasnya', 'berantas', 'korupsi']",albania luncur menteri ai dunia tugas berantas korupsi
mengapa banyak orang india sukses di bidang teknologi dunia,Teknologi,"['orang', 'india', 'sukses', 'bidang', 'teknologi', 'dunia']",orang india sukses bidang teknologi dunia
elon musk buka suara tak hadir diundang trump bareng bos teknologi,Teknologi,"['elon', 'musk', 'buka', 'suara', 'hadir', 'diundang', 'trump', 'bareng', 'bos', 'teknologi']",elon musk buka suara hadir undang trump bareng bos teknologi
sisi kelam romantisme ai dan manusia,Teknologi,"['sisi', 'kelam', 'romantisme', 'ai', 'manusia']",sisi kelam romantisme ai manusia
iphone  bisa dijual di ri ini jawaban menperin,Teknologi,"['iphone', 'dijual', 'ri', 'menperin']",iphone jual ri menperin
konjen india dorong pentingnya pemuda dalam teknologi dan budaya saat diplofair usu,Teknologi,"['konjen', 'india', 'dorong', 'pemuda', 'teknologi', 'budaya', 'diplofair', 'usu']",konjen india dorong pemuda teknologi budaya diplofair usu
microsoft pecat dua pegawai yang duduki kantor presiden,Teknologi,"['microsoft', 'pecat', 'pegawai', 'duduki', 'kantor', 'presiden']",microsoft pecat pegawai duduk kantor presiden
tren ai buat menggenjot sektor pariwisata makin populer,Teknologi,"['tren', 'ai', 'menggenjot', 'sektor', 'pariwisata', 'populer']",tren ai genjot sektor pariwisata populer
telkom kembali gelar neutradc summit  angkat tema ai collaboration,Teknologi,"['telkom', 'gelar', 'neutradc', 'summit', 'angkat', 'tema', 'ai', 'collaboration']",telkom gelar neutradc summit angkat tema ai collaboration
keren mahasiswa its borong juara di kompetisi robot dunia ,Teknologi,"['keren', 'mahasiswa', 'its', 'borong', 'juara', 'kompetisi', 'robot', 'dunia']",keren mahasiswa its borong juara kompetisi robot dunia
video sorotan mendikdasmen soal banyak anak tak bisa baca jam analog,Teknologi,"['video', 'sorotan', 'mendikdasmen', 'anak', 'baca', 'jam', 'analog']",video sorot mendikdasmen anak baca jam analog
global lagi gonjangganjing puan beri pesan ini,Teknologi,"['global', 'gonjangganjing', 'puan', 'pesan']",global gonjangganjing puan pesan
xlsmart for business gunakan teknologi canggih untuk turunkan emisi,Teknologi,"['xlsmart', 'for', 'business', 'teknologi', 'canggih', 'turunkan', 'emisi']",xlsmart for business teknologi canggih turun emisi
ratusan perusahaan unjuk teknologi tanggap bencana ri siap jadi pusat inovasi,Teknologi,"['ratusan', 'perusahaan', 'unjuk', 'teknologi', 'tanggap', 'bencana', 'ri', 'pusat', 'inovasi']",ratus usaha unjuk teknologi tanggap bencana ri pusat inovasi
futuris prediksi di  manusia bisa hidup abadi,Teknologi,"['futuris', 'prediksi', 'manusia', 'hidup', 'abadi']",futur prediksi manusia hidup abadi
beasiswa lpdp  lebih fokus pada prodi stem kerja sama dengan brin,Teknologi,"['beasiswa', 'lpdp', 'fokus', 'prodi', 'stem', 'kerja', 'brin']",beasiswa lpdp fokus prodi stem kerja brin
pernah lihat harga k ini asalusul huruf k jadi ribuan,Teknologi,"['lihat', 'harga', 'k', 'asalusul', 'huruf', 'k', 'ribuan']",lihat harga k asalusul huruf k ribu
duh james cameron percaya kiamat mirip di terminator,Teknologi,"['duh', 'james', 'cameron', 'percaya', 'kiamat', 'terminator']",duh james cameron percaya kiamat terminator
kemdiksaintek siapkan rp  t untuk riset kampus ini bidang prioritas,Teknologi,"['kemdiksaintek', 'siapkan', 'rp', 't', 'riset', 'kampus', 'bidang', 'prioritas']",kemdiksaintek siap rp t riset kampus bidang prioritas
wamen stella perguruan tinggi tentukan kemajuan ekonomi suatu negara,Teknologi,"['wamen', 'stella', 'perguruan', 'tentukan', 'kemajuan', 'ekonomi', 'negara']",wamen stella guru tentu maju ekonomi negara
hadir di ksti  presiden prabowo minta periset ri hasilkan inovasi nyata,Teknologi,"['hadir', 'ksti', 'presiden', 'prabowo', 'periset', 'ri', 'hasilkan', 'inovasi', 'nyata']",hadir ksti presiden prabowo riset ri hasil inovasi nyata
konvensi sains terbesar pertama ri  dimulai dihadiri ribuan ilmuwan terbaik,Teknologi,"['konvensi', 'sains', 'terbesar', 'ri', 'dihadiri', 'ribuan', 'ilmuwan', 'terbaik']",konvensi sains besar ri hadir ribu ilmuwan baik
video melihat alat yang bisa lindungi petani dari kematian akibat panas,Teknologi,"['video', 'alat', 'lindungi', 'petani', 'kematian', 'akibat', 'panas']",video alat lindung tani mati akibat panas
video syarat perusahaan chipsemikonduktor tak kena tarif trump ,Teknologi,"['video', 'syarat', 'perusahaan', 'chipsemikonduktor', 'kena', 'tarif', 'trump']",video syarat usaha chipsemikonduktor kena tarif trump
 orang terkaya dunia agustus  tak ada lagi bill gates,Teknologi,"['orang', 'terkaya', 'dunia', 'agustus', 'bill', 'gates']",orang kaya dunia agustus bill gates
video inovasi gelang pintar meta bisa operasikan layar tanpa mouse,Teknologi,"['video', 'inovasi', 'gelang', 'pintar', 'meta', 'operasikan', 'layar', 'mouse']",video inovasi gelang pintar meta operasi layar mouse
video melihat cara kerja teknologi riset genomik termodern di ri,Teknologi,"['video', 'kerja', 'teknologi', 'riset', 'genomik', 'termodern', 'ri']",video kerja teknologi riset genomik modern ri
trump minta as dibebaskan tkdn investasi apple di ri lanjut,Teknologi,"['trump', 'as', 'dibebaskan', 'tkdn', 'investasi', 'apple', 'ri']",trump as bebas tkdn investasi apple ri
menag nasaruddin tunjuk smartphone ini iblis atau malaikat,Teknologi,"['menag', 'nasaruddin', 'smartphone', 'iblis', 'malaikat']",menag nasaruddin smartphone iblis malaikat
serapan tenaga kerja dari proyek investasi bakal menyusut,Teknologi,"['serapan', 'tenaga', 'kerja', 'proyek', 'investasi', 'menyusut']",serap tenaga kerja proyek investasi susut
video mengintip teknologi riset genomik di ri sudah secanggih apa,Teknologi,"['video', 'mengintip', 'teknologi', 'riset', 'genomik', 'ri', 'secanggih']",video intip teknologi riset genomik ri canggih
video cara cek pendengaran pakai airpods pro ,Teknologi,"['video', 'cek', 'pendengaran', 'pakai', 'airpods', 'pro']",video cek dengar pakai airpods pro
video bukan it ini jurusan yang disarankan bos nvidia jika kuliah,Teknologi,"['video', 'it', 'jurusan', 'disarankan', 'bos', 'nvidia', 'kuliah']",video it jurus saran bos nvidia kuliah
ini jurusan yang disarankan oleh orang terkaya di dunia ceo nvidia bukan teknologi,Teknologi,"['jurusan', 'disarankan', 'orang', 'terkaya', 'dunia', 'ceo', 'nvidia', 'teknologi']",jurus saran orang kaya dunia ceo nvidia teknologi
resmi sekolah sudah boleh masukkan mapel koding  ai mulai ajaran ,Teknologi,"['resmi', 'sekolah', 'masukkan', 'mapel', 'koding', 'ai', 'ajaran']",resmi sekolah masuk mapel koding ai ajar
pria  tahun di china minta cerai karena jatuh cinta pada wanita ai viral,Teknologi,"['pria', 'china', 'cerai', 'jatuh', 'cinta', 'wanita', 'ai', 'viral']",pria china cerai jatuh cinta wanita ai viral
 pekerjaan yang menjanjikan pada  menurut future jobs report ,Teknologi,"['pekerjaan', 'menjanjikan', 'future', 'jobs', 'report']",kerja janji future jobs report
video canggih hong kong kembangkan ai untuk rekonstruksi medis xray,Teknologi,"['video', 'canggih', 'hong', 'kong', 'kembangkan', 'ai', 'rekonstruksi', 'medis', 'xray']",video canggih hong kong kembang ai rekonstruksi medis xray
video pengamat soroti kebijakan tarif trump  ke bisnis digital,Teknologi,"['video', 'pengamat', 'soroti', 'kebijakan', 'tarif', 'trump', 'bisnis', 'digital']",video amat sorot bijak tarif trump bisnis digital
merasakan hidup di the truman show versi ai,Teknologi,"['merasakan', 'hidup', 'the', 'truman', 'show', 'versi', 'ai']",rasa hidup the truman show versi ai
future jobs report   pekerjaan yang diprediksi bakal hilang di masa depan,Teknologi,"['future', 'jobs', 'report', 'pekerjaan', 'diprediksi', 'hilang']",future jobs report kerja prediksi hilang
siapsiap jadi pengangguran  pekerjaan ini bakal hilang di ,Teknologi,"['siapsiap', 'pengangguran', 'pekerjaan', 'hilang']",siapsiap anggur kerja hilang
video jelajahi lautan dalam lewat sentuhan robot humanoid oceanonek,Teknologi,"['video', 'jelajahi', 'lautan', 'sentuhan', 'robot', 'humanoid', 'oceanonek']",video jelajah laut sentuh robot humanoid oceanonek
proyek bangunan di china ditutup kubah super canggih bebas bising dan debu,Teknologi,"['proyek', 'bangunan', 'china', 'ditutup', 'kubah', 'super', 'canggih', 'bebas', 'bising', 'debu']",proyek bangun china tutup kubah super canggih bebas bising debu
video trump harus pikirpikir lagi sebelum deportasi elon musk,Teknologi,"['video', 'trump', 'pikirpikir', 'deportasi', 'elon', 'musk']",video trump pikirpikir deportasi elon musk
canggih cina pindahkan gedung bersejarah pakai  robot,Teknologi,"['canggih', 'cina', 'pindahkan', 'gedung', 'bersejarah', 'pakai', 'robot']",canggih cina pindah gedung sejarah pakai robot
video microsoft blue screen of death pensiun setelah  tahun,Teknologi,"['video', 'microsoft', 'blue', 'screen', 'of', 'death', 'pensiun']",video microsoft blue screen of death pensiun
video cina pamerkan drone seukuran nyamuk untuk operasi militer,Teknologi,"['video', 'cina', 'pamerkan', 'drone', 'seukuran', 'nyamuk', 'operasi', 'militer']",video cina pamer drone ukur nyamuk operasi militer
pakar kita tidak akan digantikan ai tapi digantikan orang yang menguasai ai,Teknologi,"['pakar', 'digantikan', 'ai', 'digantikan', 'orang', 'menguasai', 'ai']",pakar ganti ai ganti orang kuasa ai
gen z lebih sering sulit tidur dibanding milenial ini alasannya,Teknologi,"['gen', 'z', 'sulit', 'tidur', 'dibanding', 'milenial', 'alasannya']",gen z sulit tidur banding milenial alas
 pekerjaan yang diprediksi terancam punah apa penyebabnya,Teknologi,"['pekerjaan', 'diprediksi', 'terancam', 'punah', 'penyebabnya']",kerja prediksi ancam punah sebab
industri otomotif dan robot terancam gegara china batasi ekspor tanah jarang,Teknologi,"['industri', 'otomotif', 'robot', 'terancam', 'gegara', 'china', 'batasi', 'ekspor', 'tanah', 'jarang']",industri otomotif robot ancam gegara china batas ekspor tanah jarang
 negara dengan skill ai terbaik di asia versi coursera ada indonesia,Teknologi,"['negara', 'skill', 'ai', 'terbaik', 'asia', 'versi', 'coursera', 'indonesia']",negara skill ai baik asia versi coursera indonesia
aneka teknologi haji  dari aplikasi sampai ai,Teknologi,"['aneka', 'teknologi', 'haji', 'aplikasi', 'ai']",aneka teknologi haji aplikasi ai
video ktalk pesona d grup kpop virtual plave,Teknologi,"['video', 'ktalk', 'pesona', 'd', 'grup', 'kpop', 'virtual', 'plave']",video ktalk pesona d grup kpop virtual plave
kata peneliti ini  profesi yang akan dan tidak bisa tergantikan oleh ai,Teknologi,"['peneliti', 'profesi', 'tergantikan', 'ai']",teliti profesi ganti ai
bidang pekerjaan yang paling diminati anak muda menurut kemnaker ri apa itu,Teknologi,"['bidang', 'pekerjaan', 'diminati', 'anak', 'muda', 'kemnaker', 'ri']",bidang kerja mati anak muda kemnaker ri
 pekerjaan kelas menengah ini diramal bakal diambil alih ai,Teknologi,"['pekerjaan', 'kelas', 'menengah', 'diramal', 'diambil', 'alih', 'ai']",kerja kelas tengah ramal ambil alih ai
video pembelajaran di sekolah rakyat berbasis digital absen gunakan fingerprint,Teknologi,"['video', 'pembelajaran', 'sekolah', 'rakyat', 'berbasis', 'digital', 'absen', 'fingerprint']",video ajar sekolah rakyat bas digital absen fingerprint
stem dan jalan menuju ekonomi berdaya saing tinggi,Teknologi,"['stem', 'jalan', 'ekonomi', 'berdaya', 'saing']",stem jalan ekonomi daya saing
video codex agen openai yang bisa bantu pengguna coding,Teknologi,"['video', 'codex', 'agen', 'openai', 'bantu', 'pengguna', 'coding']",video codex agen openai bantu guna coding
penampakan logo baru g google,Teknologi,"['penampakan', 'logo', 'g', 'google']",tampak logo g google
mengapa kita suka mengecek hp tanpa alasan ternyata ini penjelasan psikologi,Teknologi,"['suka', 'mengecek', 'hp', 'alasan', 'penjelasan', 'psikologi']",suka ecek hp alas jelas psikologi
sopan ke chatgpt ternyata picu dompet tekor ini alasannya,Teknologi,"['sopan', 'chatgpt', 'picu', 'dompet', 'tekor', 'alasannya']",sopan chatgpt picu dompet tekor alas
siswa kelas  sd bakal belajar coding mulai tahun depan pakar beri catatan ini,Teknologi,"['siswa', 'kelas', 'sd', 'belajar', 'coding', 'pakar', 'catatan']",siswa kelas sd ajar coding pakar catat
kampus berdampak di mata pakar cara agar mahasiswa tak gagap teknologi  komunitas,Teknologi,"['kampus', 'berdampak', 'mata', 'pakar', 'mahasiswa', 'gagap', 'teknologi', 'komunitas']",kampus dampak mata pakar mahasiswa gagap teknologi komunitas
video gibran pastikan sekolah terapkan pelajaran ai mulai tahun ajaran baru,Teknologi,"['video', 'gibran', 'pastikan', 'sekolah', 'terapkan', 'pelajaran', 'ai', 'ajaran']",video gibran pasti sekolah terap ajar ai ajar
video alpha firefly gagal meroket satelit lockheed martin jatuh ke samudra pasifik,Teknologi,"['video', 'alpha', 'firefly', 'gagal', 'meroket', 'satelit', 'lockheed', 'martin', 'jatuh', 'samudra', 'pasifik']",video alpha firefly gagal roket satelit lockheed martin jatuh samudra pasifik
ini  pekerjaan yang aman dari ancaman ai ada incaranmu,Teknologi,"['pekerjaan', 'aman', 'ancaman', 'ai', 'incaranmu']",kerja aman ancam ai incar
rahasia haloka creativ integrasi teknologi canggih dorong kreativitas,Teknologi,"['rahasia', 'haloka', 'creativ', 'integrasi', 'teknologi', 'canggih', 'dorong', 'kreativitas']",rahasia haloka creativ integrasi teknologi canggih dorong kreativitas
video sederet fitur iphone mac ipad penunjang produktivitas ukm,Teknologi,"['video', 'sederet', 'fitur', 'iphone', 'mac', 'ipad', 'penunjang', 'produktivitas', 'ukm']",video deret fitur iphone mac ipad tunjang produktivitas ukm
skill esensial untuk kartini masa kini di era ai cek di sini,Teknologi,"['skill', 'esensial', 'kartini', 'era', 'ai', 'cek']",skill esensial kartini era ai cek
video toko di china pamer iphone  padahal belum dirilis,Teknologi,"['video', 'toko', 'china', 'pamer', 'iphone', 'dirilis']",video toko china pamer iphone rilis
tak lagi taylor swift lucy guo kini wanita paling tajir dari usaha sendiri,Teknologi,"['taylor', 'swift', 'lucy', 'guo', 'wanita', 'tajir', 'usaha']",taylor swift lucy guo wanita tajir usaha
video keren china luncurkan internet g tercepat di dunia,Teknologi,"['video', 'keren', 'china', 'luncurkan', 'internet', 'g', 'tercepat', 'dunia']",video keren china luncur internet g cepat dunia
paus fransiskus peringatkan hubungan manusia dan teknologi sebelum wafat,Teknologi,"['paus', 'fransiskus', 'peringatkan', 'hubungan', 'manusia', 'teknologi', 'wafat']",paus fransiskus ingat hubung manusia teknologi wafat
guru dan dokter bakal digantikan ai kata bill gates,Teknologi,"['guru', 'dokter', 'digantikan', 'ai', 'bill', 'gates']",guru dokter ganti ai bill gates
mau karier makin cuan ini skill kartini masa kini di era ai,Teknologi,"['karier', 'cuan', 'skill', 'kartini', 'era', 'ai']",karier cuan skill kartini era ai
ternyata ini alasan gen z pilih tak menikah dan tak punya anak,Teknologi,"['alasan', 'gen', 'z', 'pilih', 'menikah', 'anak']",alas gen z pilih meni anak
imbas tarif trump harga iphone bisa tembus rp  juta,Teknologi,"['imbas', 'tarif', 'trump', 'harga', 'iphone', 'tembus', 'rp', 'juta']",imbas tarif trump harga iphone tembus rp juta
dua ceo paling cerdas menurut orang terkaya di dunia,Teknologi,"['ceo', 'cerdas', 'orang', 'terkaya', 'dunia']",ceo cerdas orang kaya dunia
gegara ikut google map mobil nyasar ke kebunmasuk parit di banyuwangi,Teknologi,"['gegara', 'google', 'map', 'mobil', 'nyasar', 'kebunmasuk', 'parit', 'banyuwangi']",gegara google map mobil nyasar kebunmasuk parit banyuwangi
